"exito","area","tam_cat","orientacion","soporte_grp","sop_montaje","tecnica","tipo_autor","serie","fecha_est","fecha_ancho","tema"
"0",4508,"pequeno","vertical","Tabla/Panel","0","oleo","anonimo","0",1490,20,"religioso"
"0",4508,"pequeno","vertical","Tabla/Panel","0","oleo","anonimo","0",1490,20,"religioso"
"0",17680,"mediano","horizontal","Tabla/Panel","0","oleo","anonimo","0",1490,20,"religioso"
"1",1000,"pequeno","horizontal","Tabla/Panel","0","mixta","hombre","0",1741,518,"religioso"
"1",1000,"pequeno","horizontal","Tabla/Panel","0","mixta","hombre","0",1741,518,"religioso"
"0",850,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1483,2,"religioso"
"0",850,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1483,2,"religioso"
"0",9792,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1742,517,"religioso"
"1",11439.7,"mediano","horizontal","Tabla/Panel","0","mixta","hombre","0",1483,0,"otros"
"1",11426.25,"mediano","horizontal","Tabla/Panel","0","mixta","hombre","0",1483,0,"otros"
"0",11898.75,"mediano","horizontal","Tabla/Panel","0","mixta","hombre","0",1483,0,"otros"
"0",936,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1488,5,"religioso"
"1",7952,"mediano","vertical","Tabla/Panel","0","mixta","hombre","0",1490,0,"religioso"
"0",12255,"mediano","vertical","Tabla/Panel","0","mixta","hombre","0",1490,0,"religioso"
"0",8848,"mediano","vertical","Tabla/Panel","0","otras","hombre","0",1490,0,"religioso"
"0",15015,"mediano","vertical","Tabla/Panel","0","otras","hombre","0",1490,0,"religioso"
"0",1820,"pequeno","vertical","Tabla/Panel","0","mixta","hombre","0",1490,0,"religioso"
"0",16380,"mediano","vertical","Tabla/Panel","1","mixta","hombre","0",1490,0,"religioso"
"0",7455,"mediano","vertical","Tabla/Panel","0","mixta","hombre","0",1490,0,"otros"
"0",6552,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1490,0,"religioso"
"0",7636,"mediano","vertical","Tabla/Panel","0","mixta","hombre","0",1490,0,"religioso"
"0",10584,"mediano","vertical","Tabla/Panel","0","oleo","varios","0",1490,0,"otros"
"0",10752,"mediano","vertical","Tabla/Panel","0","oleo","varios","0",1490,0,"religioso"
"0",10584,"mediano","vertical","Tabla/Panel","0","oleo","varios","0",1490,0,"religioso"
"1",279.3,"pequeno","vertical","Tabla/Panel","0","oleo","anonimo","0",1490,0,"retrato_corte"
"0",10830,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1490,0,"religioso"
"0",10830,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1490,0,"religioso"
"0",8008,"mediano","horizontal","Tabla/Panel","0","oleo","hombre","0",1490,0,"religioso"
"0",1496,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1490,19,"religioso"
"0",8475,"mediano","vertical","Tabla/Panel","0","mixta","hombre","0",1490,19,"religioso"
"0",21336,"grande","vertical","Tabla/Panel","0","oleo","anonimo","0",1490,19,"religioso"
"0",18178,"grande","vertical","Tabla/Panel","0","oleo","anonimo","0",1490,19,"religioso"
"0",3348,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1516,69,"religioso"
"0",1166.55,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1744,511,"religioso"
"0",24851.64,"grande","horizontal","Tabla/Panel","0","mixta","hombre","0",1494,0,"religioso"
"0",3024,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1496,15,"religioso"
"0",3432,"pequeno","vertical","Tabla/Panel","0","oleo","varios","1",1490,0,"religioso"
"1",3588,"pequeno","vertical","Tabla/Panel","0","oleo","varios","1",1490,0,"religioso"
"0",10584,"mediano","vertical","Tabla/Panel","0","oleo","varios","0",1490,0,"religioso"
"0",10584,"mediano","vertical","Tabla/Panel","0","oleo","varios","0",1490,0,"otros"
"0",8569.6,"mediano","vertical","Tabla/Panel","0","oleo","anonimo","0",1492,5,"religioso"
"0",4968,"pequeno","vertical","Tabla/Panel","0","oleo","anonimo","0",1492,5,"religioso"
"0",4968,"pequeno","vertical","Tabla/Panel","0","oleo","anonimo","0",1492,5,"religioso"
"0",19521,"grande","vertical","Tabla/Panel","0","oleo","hombre","0",1492,5,"religioso"
"0",5238,"mediano","vertical","Tabla/Panel","0","mixta","hombre","1",1495,10,"religioso"
"1",4950,"pequeno","vertical","Tabla/Panel","0","mixta","hombre","1",1495,10,"religioso"
"1",7910,"mediano","vertical","Tabla/Panel","0","mixta","hombre","1",1495,10,"religioso"
"0",8588,"mediano","vertical","Tabla/Panel","0","mixta","hombre","1",1495,10,"religioso"
"0",4982,"pequeno","vertical","Tabla/Panel","0","mixta","hombre","1",1495,10,"religioso"
"0",5292,"mediano","vertical","Tabla/Panel","0","mixta","hombre","1",1495,10,"religioso"
"0",12780,"mediano","horizontal","Tabla/Panel","0","oleo","hombre","0",1495,0,"religioso"
"0",12408,"mediano","horizontal","Tabla/Panel","0","otras","hombre","0",1495,0,"religioso"
"0",5394,"mediano","vertical","Tabla/Panel","0","otras","hombre","0",1495,0,"religioso"
"0",14300,"mediano","vertical","Mural","1","otras","hombre","0",1495,0,"religioso"
"0",2157.04,"pequeno","horizontal","Tabla/Panel","0","oleo","hombre","0",1495,0,"religioso"
"0",13776,"mediano","vertical","Tabla/Panel","0","mixta","hombre","0",1492,2,"religioso"
"1",14168,"mediano","vertical","Tabla/Panel","0","oleo","hombre","1",1495,8,"religioso"
"0",10126,"mediano","vertical","Tabla/Panel","0","oleo","hombre","1",1495,8,"religioso"
"0",10126,"mediano","vertical","Tabla/Panel","0","oleo","hombre","1",1495,8,"religioso"
"1",11438,"mediano","vertical","Tabla/Panel","0","oleo","hombre","1",1495,8,"religioso"
"1",11088,"mediano","vertical","Tabla/Panel","0","oleo","hombre","1",1495,8,"otros"
"1",10496,"mediano","vertical","Tabla/Panel","0","oleo","hombre","1",1495,8,"religioso"
"1",11135,"mediano","vertical","Tabla/Panel","0","oleo","hombre","1",1495,8,"religioso"
"0",11180,"mediano","vertical","Tabla/Panel","0","oleo","hombre","1",1495,8,"religioso"
"0",15930,"mediano","vertical","Tabla/Panel","0","oleo","hombre","1",1495,8,"religioso"
"0",15930,"mediano","vertical","Tabla/Panel","0","oleo","hombre","1",1495,8,"religioso"
"0",72100,"grande","vertical","Lienzo","0","otras","hombre","0",1495,8,"religioso"
"0",72100,"grande","vertical","Lienzo","0","otras","hombre","0",1495,8,"religioso"
"0",12150,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1497,0,"religioso"
"0",72100,"grande","vertical","Lienzo","0","otras","hombre","0",1496,6,"religioso"
"0",72100,"grande","vertical","Lienzo","0","otras","hombre","0",1496,6,"religioso"
"0",22308,"grande","vertical","Tabla/Panel","0","mixta","hombre","0",1495,2,"religioso"
"1",37026,"grande","vertical","Tabla/Panel","1","mixta","hombre","0",1498,5,"religioso"
"0",4207.86,"pequeno","horizontal","Tabla/Panel","0","oleo","hombre","0",1498,5,"religioso"
"0",4242.64,"pequeno","horizontal","Tabla/Panel","0","oleo","hombre","0",1498,5,"religioso"
"1",4717,"pequeno","horizontal","Tabla/Panel","0","mixta","hombre","0",1498,5,"religioso"
"0",4134,"pequeno","vertical","Tabla/Panel","0","oleo","anonimo","0",1500,0,"religioso"
"0",20000,"grande","vertical","Tabla/Panel","1","mixta","hombre","0",1500,0,"religioso"
"0",22800,"grande","vertical","Tabla/Panel","1","mixta","hombre","0",1500,0,"religioso"
"0",23326,"grande","vertical","Tabla/Panel","1","mixta","hombre","0",1500,0,"religioso"
"0",20300,"grande","vertical","Tabla/Panel","1","mixta","hombre","0",1500,0,"religioso"
"0",23956,"grande","vertical","Tabla/Panel","1","mixta","hombre","0",1500,0,"religioso"
"0",21726,"grande","vertical","Tabla/Panel","1","mixta","hombre","0",1500,0,"otros"
"0",4560,"pequeno","vertical","Tabla/Panel","0","mixta","hombre","0",1500,0,"religioso"
"0",4560,"pequeno","vertical","Tabla/Panel","0","mixta","hombre","0",1500,0,"otros"
"0",9680,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1500,0,"religioso"
"0",1952,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1500,0,"religioso"
"0",27280,"grande","vertical","Tabla/Panel","0","oleo","hombre","0",1500,0,"religioso"
"0",270,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1500,0,"religioso"
"0",13625,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1500,0,"religioso"
"0",10584,"mediano","vertical","Tabla/Panel","0","oleo","varios","0",1500,0,"historia_alegoria"
"0",13020,"mediano","vertical","Tabla/Panel","0","oleo","anonimo","1",1500,0,"religioso"
"0",9600,"mediano","vertical","Tabla/Panel","0","oleo","anonimo","1",1500,0,"otros"
"0",9600,"mediano","vertical","Tabla/Panel","0","oleo","anonimo","1",1500,0,"religioso"
